정류장ID,정류장명,위도,경도,노선 개수,승차 비율,하차 비율,환승 비율,고정인구,유동인구,평균 속도,평균 통행량,교통 혼잡도,BRT 정류장 여부,대중교통 연계,주변 건물,이용량,이용량_보정,입지 점수
293064242,"새뜸마을5,8단지",36.4823928,127.2532777,4,0.661312647,0.30782569,0.0308616625,2988,61979,18.3,86.8,1.092896175,0,16,232,65745,65745,0.5111054846901093
293062009,과기정통부(중기부),36.49753,127.26038,1,0.0241786015,0.974304971,0.00151642797,1334,107847,14.0,111.1,1.785714286,0,13,294,11870,11870,0.5003245549649601
293064352,가락마을6단지,36.502547,127.238868,2,0.262147626,0.725952028,0.0119003462,4299,195759,17.4,124.5,1.436781609,0,8,62,32352,32352,0.48130138558721897
293064216,소담동 새샘마을,36.4826387,127.2977367,4,0.472980375,0.311410393,0.215609232,5641,9302,40.8,139.8,0.612745098,1,20,176,189862,74230,0.48097225670705906
293064268,과학기술정보통신부,36.496085,127.2630356,3,0.409030977,0.536704396,0.0542646278,1323,107847,26.6,149.9,0.939849624,0,17,373,58399,58399,0.4781115761377668
293064523,"나릿재마을 4,6단지",36.4916231,127.2611096,2,0.524473649,0.455142819,0.0203835323,2107,83219,18.3,187.2,1.366120219,0,12,599,14914,14914,0.47501190279618155
293064515,"새샘마을7,8단지",36.48683,127.29981,3,0.561503047,0.407969893,0.0305270598,4154,9302,19.5,94.5,0.769230769,0,20,373,52347,52347,0.47068644669630566
293064077,국책연구단지북측,36.4955579,127.3033473,5,0.353010933,0.594242921,0.052746146,1328,29318,11.0,156.3,1.818181818,0,11,47,61559,61559,0.4670196826073736
293064315,새롬고등학교(새뜸마을7단지),36.4871399,127.2492546,1,0.206128748,0.785438713,0.00843253968,6516,40431,22.5,48.1,0.888888889,0,19,283,18144,18144,0.46546269359159786
293064069,"종촌고(가재마을3,4단지)",36.5052447,127.2443833,2,0.372208182,0.622249875,0.00554194302,5640,88689,13.6,124.6,1.102941176,0,8,29,77951,77951,0.46069229940639367
293064028,고운중학교,36.5068832,127.2367283,2,0.442850666,0.542145831,0.0150035036,3355,195759,17.4,75.0,1.436781609,0,8,181,24261,24261,0.4557679842229607
293064003,첫마을4단지,36.48019,127.2516,6,0.398571816,0.535924529,0.0655036547,4606,61979,19.8,38.1,0.757575758,0,11,89,106849,106849,0.45258810203855626
293064109,"도램마을8,10단지",36.5119283,127.2595385,10,0.528309101,0.438193055,0.0334978436,4994,62262,40.9,363.1,0.611246944,1,19,363,112455,43966,0.45036667481444953
293064314,새롬고등학교(새뜸마을7단지),36.4869507,127.2492943,1,0.368114804,0.601506443,0.0303787527,6149,40431,25.9,48.0,0.772200772,0,19,283,28013,28013,0.4410554231305589
293064123,고운동커뮤니티센터남측,36.5042791,127.2352687,3,0.53106373,0.431440688,0.0374955825,2570,195759,21.7,99.4,0.69124424,0,10,221,84890,84890,0.4332784364814613
293053008,한솔동(첫마을),36.4811358,127.2615539,8,0.353485269,0.571632916,0.0748818145,2505,83219,35.5,213.7,0.704225352,1,18,342,155899,60952,0.42857563047139524
293064110,"도램마을8,10단지",36.5121473,127.2599592,9,0.456351028,0.516742397,0.0269065751,4186,62262,39.3,308.5,0.636132316,1,18,376,126326,49389,0.4269182896546915
293064148,범지기마을1단지,36.5089857,127.242171,1,0.135868046,0.85882024,0.00531171373,4433,151477,20.1,123.5,1.243781095,0,12,185,14308,14308,0.42363190833370873
293064516,"새샘마을7,8단지",36.48709,127.30017,3,0.328391417,0.633335473,0.0382731104,3121,9302,18.1,126.0,0.828729282,0,20,384,46743,46743,0.42341033992836563
293064167,"호려울마을8,9단지",36.4797747,127.296745,2,0.371447078,0.620513602,0.00803932028,5196,30530,16.1,88.5,1.552795031,0,12,40,26246,26246,0.4222064175916225
293053009,한솔동,36.4810822,127.2617829,4,0.556801005,0.375478188,0.0677208064,2143,83219,35.5,213.7,0.704225352,1,18,342,160763,62853,0.41825989596936536
293064204,"고운뜰공원,대법원등기정보센터",36.511388,127.241627,2,0.62319367,0.343607963,0.0331983662,2440,151477,23.1,65.3,1.082251082,1,11,294,112867,44127,0.414790093954307
293062007,정부세종청사남측,36.50173,127.25991,4,0.479651108,0.446323908,0.0740249841,213,107847,34.2,357.7,0.730994152,1,18,80,266329,104127,0.41238112843864544
293064098,가락마을22단지,36.5201811,127.2411119,4,0.295407674,0.53001036,0.174581966,3014,195759,31.4,149.2,0.796178344,0,7,13,103281,103281,0.4113868994536676
293064001,첫마을5단지,36.47762,127.24973,5,0.377292298,0.60973482,0.0129728817,3533,61979,17.4,37.3,1.149425287,0,5,52,106607,106607,0.40779298994941976
293064004,첫마을4단지,36.47998,127.25203,6,0.519101709,0.42945578,0.0514425117,4735,61979,21.4,44.7,0.700934579,0,10,89,103708,103708,0.3998233717804482
293062024,"양지중학교(한뜰마을1,2단지)",36.50712,127.26767,6,0.448503921,0.448901607,0.102594472,2163,107847,30.1,150.8,0.830564784,0,10,11,115669,115669,0.39247501971044696
293064061,"종촌고(가재마을3,4단지)",36.5050718,127.2436524,2,0.709156732,0.281227662,0.00961560634,4903,88689,16.5,115.0,0.909090909,0,8,28,86734,86734,0.38005859986430224
