정류장ID,정류장명,위도,경도
293014032,실광주유소,36.55361,127.27738
293014033,실광주유소,36.55469,127.27737
293014034,세종호수공원,36.50216,127.27738
293014036,방공학교,36.55202,127.27817
293014037,보통2리,36.54867,127.27837
293014038,보통2리,36.54869,127.27849
293014039,연기2리마을회관,36.54216,127.28017
293014048,보통1리마을회관,36.54493,127.29008
293014058,누리동,36.5341,127.292158
293015001,송용3리,36.56038,127.30372
293015002,송용3리,36.560329,127.303813
293015004,송용3리(신촌),36.56901,127.30807
293015006,송용3리(신촌),36.568869,127.308161
293015009,문주리,36.5469871,127.3103846
293015012,예양리(강촌입구),36.580326,127.312387
293015015,예양2리,36.5808639,127.3172522
293015018,예양1리,36.57621,127.32112
293015019,예양1리,36.57534,127.32155
293015020,양세오충각,36.57851,127.32177
293015021,양세오충각,36.57838,127.3219
293015022,송용리,36.5617958,127.3229875
293015023,예양리,36.57283,127.32303
293015025,예양리,36.57279,127.32321
293015026,송용리,36.5619854,127.3231771
293015028,내판역,36.55796,127.32516
293015029,내판3리,36.5481637,127.3252197
293015030,내판역,36.55751,127.3252
293015031,내판2리,36.5520139,127.3257707
293015032,내판2리,36.5516584,127.3262301
293015033,노송2리,36.57126,127.32616
293015035,연동중학교,36.55269,127.32796
293015036,연동중학교,36.5529,127.32801
293015037,노송1리(노리미),36.56935,127.32836
293015038,교과서박물관,36.5494,127.33021
293015039,교과서박물관,36.54933,127.33046
293015040,노송1리(노리미),36.5693111,127.3281964
293015043,응암농공단지,36.54621,127.33419
293015044,응암농공단지,36.5457,127.33441
293015049,명학산업단지,36.53905,127.34013
293015050,명학산업단지,36.53897,127.34062
293015051,응암2리,36.55719,127.34201
293015052,응암1리마을회관,36.54295,127.34252
293015055,명학1리,36.5372,127.34346
293015056,명학1리,36.53703,127.34345
293015057,응암4리,36.55802,127.34467
293015058,응암4리,36.55812,127.3448
293015059,용운사,36.51838,127.34674
293015060,응암리(가마골),36.54116,127.34694
293015061,용운사,36.51858,127.347
293015062,명학리,36.53567,127.34787
293015063,명학리,36.53579,127.34803
293015065,명학2리(황룡사),36.52683,127.35145
293015066,청정아파트,36.52924,127.35153
293015067,명학2리(황룡사),36.52685,127.35158
293015068,명학3리,36.53472,127.35163
293015069,명학3리,36.53454,127.35168
293015070,청정아파트,36.52908,127.35172
293015071,청봉사,36.52218,127.3536
293015072,청봉사,36.52228,127.35368
293015073,응암3리입구,36.54687,127.35382
293015074,응암3리입구,36.54694,127.35395
293015075,응암3리입구,36.54658,127.35398
293015076,명학2리(용당),36.52015,127.35409
293016001,청라리,36.58827,127.19832
293016002,청라2리,36.5926304,127.2092889
293016003,청라2리,36.5928335,127.2093887
293016004,쌍류보건진료소,36.59453,127.21345
293016005,쌍류보건진료소,36.59467,127.21372
293016010,쌍류리,36.5989,127.22171
293016011,쌍류리,36.59901,127.22186
293016012,기룡리,36.57124,127.22424
293016013,와촌3리(은암),36.55599,127.22458
293016014,와촌3리(은암),36.55608,127.22474
293016015,용암삼거리,36.59958,127.2271
293016016,용암삼거리,36.5995848,127.227268
293016017,용암리(금단마을),36.5944128,127.227644
293016018,고복저수지,36.60423,127.22974
293016019,고복저수지,36.60408,127.2298
293016020,금박골,36.55686,127.22988
293016021,용암리입구,36.60881,127.23234
293016022,기룡정미소,36.5727,127.23243
293016023,용암리입구,36.60879,127.23249
293016024,기룡리정미소,36.57266,127.23264
293016025,효방동,36.55671,127.23311
293016026,와촌3리,36.55658,127.2332
293016027,신대2리(송적골),36.59008,127.2332
293016028,신대2리(송적골),36.59011,127.2335
293016029,기룡리복지회관,36.57314,127.23419
293016030,기룡리복지회관,36.57304,127.23437
293016031,대륙테크놀로지,36.55642,127.23748
293016032,대륙테크놀로지,36.55656,127.2375
293016033,평전,36.57384,127.23765
293016034,평전,36.57382,127.23827
293016035,조치원노인전문병원,36.61154,127.23835
293016036,조치원노인전문병원,36.61157,127.23862
293016037,영동부화장,36.57468,127.24063
