LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,C-ITS,LENGTH,UPDATEDATE,REMARK,HIST_TYPE,HISTREMARK,택시 평균 속도,택시 평균 통행량
4130321700,4130116700,4130110300,2,104,0,-,월산공단로,0,0,0,40,0,0,0,0,1229.040598,20230519,,,,50.6,185.6
4130321800,4130110300,4130116700,2,104,0,-,월산공단로,0,0,0,40,0,0,0,0,1235.334679,20230519,,,,41.1,220.7
4130322400,4130062300,4130063000,3,103,0,43,정안세종로,0,0,0,80,0,0,0,0,161.1038833,20230519,,,,59.7,29.1
4130322600,4130107500,4130090100,3,103,0,1,세종로,0,1,0,70,0,0,0,0,1406.742675,20230519,,,,87.1,554.1
4130322700,4130037800,4130038100,1,106,3,627,용연로,0,1,0,60,0,0,0,0,67.08536362,20230519,,,,28.5,36
4130322500,4130090100,4130107500,3,103,0,1,세종로,0,1,0,70,0,0,0,0,1416.629626,20230519,,,,92.6,495.2
4130333700,4130162200,4130162000,3,105,0,96,연청로,0,0,0,70,0,0,0,0,174.4855595,20230519,,,,85.4,100.6
4130325900,4130157100,4130158400,2,104,0,-,명학산단남로,0,0,0,50,0,0,0,0,394.683492,20230519,,,,16.3,0.4
4130335200,4130159900,4130159300,2,104,0,-,명학산단로,0,0,0,50,0,0,0,0,118.6571353,20230519,,,,55.3,10.3
4130325500,4130159800,4130158400,1,104,0,-,원합강1길,0,0,0,50,0,0,0,0,367.228476,20230519,,,,30.1,3.5
4130323000,4130036400,4130037800,1,106,0,691,의당전의로,0,0,0,60,0,0,0,0,1268.566968,20230519,,,,29.6,13.7
4130323200,4130162500,4130163200,1,104,0,-,응암2길,0,0,0,60,0,0,0,0,883.4312921,20230519,,,,34.6,25.2
4130331500,4130054700,4130053600,2,103,0,43,정안세종로,0,0,0,80,0,0,0,0,153.7038009,20230519,,,,80.8,28
4130333900,4130162800,4130162500,1,104,0,-,응암2길,0,0,0,50,0,0,0,0,160.1156889,20230519,,,,86.2,46.2
4130334300,4130161300,4130161000,2,104,0,-,명학산단남로,0,0,0,50,0,0,0,0,63.82162641,20230519,,,,32.8,39.2
4130334200,4130161000,4130161300,2,104,0,-,명학산단남로,0,0,0,50,0,0,0,0,63.82162641,20230519,,,,18.9,26
4130160700,4130094000,4130092600,1,104,0,-,나성남로,0,0,0,30,0,0,0,0,111.5804712,20230519,,,,15.2,23.9
4130287600,4130066800,4130063700,2,104,0,-,마음안로,0,0,0,30,0,0,0,0,219.3244044,20230519,,,,16.6,123.7
4130012400,4130026300,4130156300,1,104,0,-,집현중앙6로,0,0,0,30,0,0,0,0,69.18660894,20230519,,,,50.8,25.8
4130330000,4130155100,4130153600,2,104,0,-,내판로,0,0,0,50,0,0,0,0,1048.632566,20230519,,,,20.1,0.2
4130334900,4130163100,4130162300,3,105,0,96,연청로,0,0,0,70,0,0,0,0,347.9518124,20230519,,,,89.8,199.4
4130335100,4130162600,4130162100,1,104,0,-,연청로,0,0,0,10,0,0,0,0,102.1943656,20230519,,,,37.5,0.7
4130334800,4130162300,4130163100,3,105,0,96,연청로,0,0,0,70,0,0,0,0,340.1621143,20230519,,,,87.9,141.1
4130173900,4130091000,4130093400,2,104,0,-,국세청로,0,0,0,30,0,0,0,0,104.6677687,20230519,,,,20,72.2
4130228800,4130098600,4130097600,1,104,0,-,도움4로.부속1길,0,0,0,30,0,0,0,0,89.05737943,20230519,,,,47.2,9
4130343500,4130157500,4130158000,1,104,0,-,명학산단서로,0,0,0,40,0,0,0,0,103.7086017,20230519,,,,35.9,6.3
4130338400,4130112000,4130121200,1,104,0,-,교촌길,0,0,0,10,0,0,0,0,836.6733047,20230519,,,,21.1,55.5
4130013400,4130026100,4130134700,1,104,0,-,-,0,0,0,30,0,0,0,0,122.1206506,20230519,도로명없음,,,28.5,6
4130407700,4130121400,4130122100,1,104,0,-,봉산로,0,0,0,40,0,0,0,0,52.24324591,20230519,,,,27.1,1.5
4130019400,4130000700,4130000800,1,104,0,-,매실로,0,0,0,30,0,0,0,0,113.4413467,20230519,,,,29.7,1.9
4130030600,4130006100,4130006200,2,104,0,-,서북부로,0,0,0,40,0,0,0,0,82.80783391,20230519,,,,44.3,1.4
4130036000,4130083100,4130086200,1,104,0,-,새롬남로,0,0,0,30,0,0,0,0,269.3866883,20230519,,,,24.4,64.1
4130137700,4130076700,4130071400,1,104,0,-,누리1로,0,0,0,30,0,0,0,0,671.4276041,20230519,,,,26,24.3
4130132700,4130080900,4130083600,2,105,0,96,나리로,0,0,0,50,0,0,0,0,188.4759691,20230519,,,,34,92.7
4130114700,4130117600,4130117700,1,104,0,-,용포로,0,0,0,40,0,0,0,0,361.9031635,20230519,,,,25.6,72.4
4130320600,4130090100,4130084600,3,103,4,1,세종로,0,1,0,70,0,0,0,0,310.4939447,20230519,,,,89.2,218.6
4130418000,4130049600,4130056300,1,104,0,-,금이로,0,0,0,60,0,0,0,0,1479.732023,20230519,,,,41.2,3
4130142000,4130073700,4130072600,1,104,0,-,누리1로,0,0,0,30,0,0,0,0,81.14363251,20230519,,,,24.7,18.2
4130399500,4130140200,4130137700,1,104,0,-,새내15길,0,0,0,40,0,0,0,0,112.5790332,20230519,,,,22.3,280
