대여소 번호,대여소 아이디,대여소 이름,사용유무,주소(구),주소(동),상세주소,경도,위도,권역,지오펜스 거리,등록일,수정일
150,SJ_00150,종촌동_가재911동앞,Y,세종,종촌동,세종특별자치시 종촌동 697,127.251003,36.501881,1,40,2018-08-06 20:58,2020-12-10 10:24
151,SJ_00151,종촌동_가재1008동앞,Y,세종,종촌동,세종특별자치시 종촌동 656-1,127.252239,36.501901,1,30,2018-08-06 20:59,2020-12-10 10:24
152,SJ_00152,종촌동_가재1009동건너편,Y,세종,종촌동,세종특별자치시 종촌동 697,127.252735,36.501528,1,30,2018-08-06 21:00,2020-12-10 10:24
153,SJ_00153,종촌동_가재1102동앞,Y,세종,종촌동,세종특별자치시 종촌동 654,127.250999,36.504626,1,30,2018-08-06 21:01,2020-12-10 10:24
154,SJ_00154,종촌동_가재1202동앞,Y,세종,종촌동,세종특별자치시 종촌동 701,127.250973,36.504884,1,30,2018-08-06 21:02,2020-12-10 10:24
155,SJ_00155,아름동_범지기101동앞,Y,세종,아름동,세종특별자치시 아름동 1477,127.241923,36.508983,1,10,2018-08-06 21:05,2020-12-21 9:47
156,SJ_00156,아름동_범지기401동건너편,Y,세종,아름동,세종특별자치시 아름동 1376,127.25001,36.509118,1,30,2018-08-06 21:06,2020-12-10 10:24
157,SJ_00157,아름동_범지기601동앞,Y,세종,아름동,세종특별자치시 아름동 1357,127.249758,36.510313,1,40,2018-08-06 21:07,2021-04-09 16:40
158,SJ_00158,아름동_다올비즈니스센터앞,Y,세종,아름동,세종특별자치시 아름동 1475,127.242248,36.511875,1,35,2018-08-06 21:09,2021-09-08 15:42
159,SJ_00159,아름동_아카데미타워앞,Y,세종,아름동,세종특별자치시 아름동 1318,127.243538,36.512167,1,20,2018-08-06 21:10,2022-02-04 19:02
160,SJ_00160,아름동_싱싱장터2호점앞,Y,세종,아름동,세종특별자치시 아름동 1352,127.247866,36.511608,1,20,2018-08-06 21:11,2020-12-10 10:24
161,SJ_00161,아름동_복합커뮤니티센터,Y,세종,아름동,세종특별자치시 아름동 1286,127.247855,36.511842,1,33,2018-08-06 21:12,2022-05-08 11:07
162,SJ_00162,아름동_해피라움4앞,Y,세종,아름동,세종특별자치시 아름동 1362,127.249595,36.511492,1,30,2018-08-06 21:13,2020-12-10 10:24
